품명,가격,이미지URL
카레용 돼지고기(300g),6000,https://images.unsplash.com/photo-1607623814075-e51df1bdc82f?w=300
감자(1봉),3000,https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=300
당근(1개),1200,https://images.unsplash.com/photo-1447175008436-08417090ea9b?w=300
양파(1망),2500,https://images.unsplash.com/photo-1508747703725-719777637510?w=300
카레 루(4인분),3500,https://images.unsplash.com/photo-1588166524941-3bf61a9c41db?w=300
생일 케이크,22000,https://images.unsplash.com/photo-1535141192574-5d4897c13136?w=300
풍선 세트,4000,https://images.unsplash.com/photo-1530103862676-de8c9debad1d?w=300
과자 모듬팩,8000,https://images.unsplash.com/photo-1621939514649-280e2ee25f60?w=300
음료수(2L),3000,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300
꼬깔모자,2000,https://images.unsplash.com/photo-1513151233558-d860c5398176?w=300
파티 접시&컵 세트,3500,https://images.unsplash.com/photo-1527529482837-4698179dc6ce?w=300
초콜릿 선물세트,5000,https://images.unsplash.com/photo-1549007994-cb92caebd54b?w=300
